Test,0,10,00:1
T,0,10,00:20
Tes,0,10,10:10
Tes,0,10,00:11
Testfgh,0,10,00:8
Tesfght,0,10,00:11
Tesdgfght,0,10,00:14
Tesdght,0,10,00:14
Tefghfst,0,10,00:11
Tesdght,0,10,00:11
Tedfghst,0,10,00:14
Julius,3,9,00:06
Vardas,6,9,00:10
LOL,3,9,00:03
,2,9,00:09
Anonimas,4,9,00:04
Gustas,8,9,00:08
Gustas_V2,6,9,00:12
Linas,6,9,00:08
Darius,2,9,00:03
Girenas,3,9,00:04
Anonimas,0,0,00:07
Anonimas,0,0,00:07
Þinovas,9,9,00:13
Maðinistas,9,9,00:08
Anonimas,2,9,00:06
Anonimas,2,9,00:05
Anonimas,5,9,00:03
Anonimas,2,9,00:03
Anonimas,5,9,00:21
Anonimas,0,9,00:07
Anonimas,3,9,00:06
Anonimas,2,9,00:08
